objectid,nombre,direccion,tipozona,parametros,mediciones,so2,no2,o3,co,pm10,pm25,tipoemisio,fecha_carg,calidad_am,fiwareid,x,y
14,Boulevar Sur,BULEVARD SUD,Urbana,"Dióxido de azufre (SO2),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Niquel (Ni),Arsénico (As),Plomo (Pb),Benzo(a)pireno (BaP),Cadmio (Cd)",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/7A.csv,1.0,17.0,73.0,,,,Tráfico,2026-05-29 13:00:00,Razonablemente Buena,A02_BULEVARDSUD_60m,724034.3761,4369995.131200001
15,Molí del Sol,MOLÍ DEL SOL,Suburbana,"Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5,Partículas PM1",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/3A.csv,6.0,15.0,70.0,0.0,35.0,10.0,Tráfico,2026-05-29 13:00:00,Razonablemente Buena,A03_MOLISOL_60m,722862.9638999999,4373373.740700001
17,Universidad Politécnica,POLITÈCNIC,Suburbana,"Dióxido de azufre (SO2),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/1A.csv,0.0,19.0,65.0,,19.0,9.0,Fondo,2026-05-29 13:00:00,Razonablemente Buena,A05_POLITECNIC_60m,729010.3865999999,4373390.021500001
18,Viveros,VIVERS,Urbana,"Dióxido de azufre (SO2),Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Ozono,Partículas PM2.5,Partículas PM10,Niquel (Ni),Arsénico (As),Plomo (Pb),Cadmio (Cd)",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/5A.csv,2.0,19.0,86.0,,,,Fondo,2026-05-29 13:00:00,Razonablemente Buena,A06_VIVERS_60m,726236.4035999998,4373308.101
20,Cabanyal,CABANYAL,Urbana,,,,26.0,,,31.0,11.0,Fondo,2026-05-29 13:00:00,Razonablemente Buena,A09_CABANYAL_60m,729790.3454999998,4372829.4288
21,Olivereta,OLIVERETA,Urbana,"Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5",,,36.0,,,47.0,16.0,Tráfico,2026-05-29 13:00:00,Regular,A10_OLIVERETA_60m,723149.1986999996,4372063.529100001
19,Centro,VALÈNCIA CENTRE,Urbana,"Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5",https://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/8A.csv,,12.0,,,35.0,11.0,Tráfico,2026-05-29 13:00:00,Razonablemente Buena,A07_VALENCIACENTRE_60m,725685.2116999999,4372281.7883
12,Dr. Lluch,DR.LLUCH,Urbana,"Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5,Partículas PM1",,,42.0,,,36.0,13.0,Tráfico,2026-05-29 13:00:00,Razonablemente Buena,A08_DR_LLUCH_60m,729836.8245000001,4371974.659
22,Patraix,PATRAIX,Urbana,"Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Partículas PM10,Partículas PM2.5",,,53.0,,,37.0,13.0,Tráfico,2026-05-29 13:00:00,Razonablemente Buena,A11_PATRAIX_60m,723569.5911999997,4370958.5766
16,Pista de Silla,PISTA DE SILLA,Urbana,"Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Benceno (Benc),Tolueno (Tolue),Xileno (Xilen),Partículas PM10,Partículas PM2.5,Nivel de presión sonora (SPL)",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/4A.csv,4.0,17.0,57.0,0.0,30.0,11.0,Tráfico,2026-05-29 13:00:00,Razonablemente Buena,A04_PISTASILLA_60m,725704.3880000003,4370895.1142
13,Francia,AVDA.FRANCIA,Urbana,"Dióxido de azufre (SO2),Monóxido de carbono (CO),Ozono,Óxidos de nitrógeno totales (NOx),Monóxido de nitrógeno (NO),Dióxido de nitrógeno (NO2),Velocidad de viento (Veloc.), Particulas PM10, Particulas PM2,5",http://mapas.valencia.es/WebsMunicipales/uploads/atmosferica/6A.csv,6.0,22.0,52.0,0.0,41.0,8.0,Tráfico,2026-05-29 13:00:00,Regular,A01_AVFRANCIA_60m,728601.3459000001,4370954.005899999
